episode_index,pickup_frame,hold_frame,drop_frame,pickup_time_s,drop_time_s,hold_frames,n_frames
0,734,835,936,24.467,31.2,202,1090
1,322,461,600,10.733,20.0,278,702
2,632,720,808,21.067,26.933,176,849
3,396,506,617,13.2,20.567,221,748
4,,,,,,,503
5,539,652,766,17.967,25.533,227,823
6,339,438,538,11.3,17.933,199,649
7,521,628,734,17.367,24.467,213,771
8,432,542,651,14.4,21.7,219,697
9,370,473,576,12.333,19.2,206,859
10,410,542,674,13.667,22.467,264,703
11,403,526,650,13.433,21.667,247,677
12,422,521,620,14.067,20.667,198,651
13,420,510,599,14.0,19.967,179,625
14,347,468,588,11.567,19.6,241,616
15,409,534,659,13.633,21.967,250,684
16,481,634,787,16.033,26.233,306,936
17,381,552,722,12.7,24.067,341,751
18,372,532,691,12.4,23.033,319,717
19,398,568,739,13.267,24.633,341,762
20,400,540,679,13.333,22.633,279,1053
21,366,509,652,12.2,21.733,286,684
22,535,692,850,17.833,28.333,315,940
23,772,891,1010,25.733,33.667,238,1039
24,545,692,840,18.167,28.0,295,869
25,337,492,648,11.233,21.6,311,1118
26,427,545,663,14.233,22.1,236,853
27,409,532,655,13.633,21.833,246,702
28,342,452,562,11.4,18.733,220,815
29,439,556,672,14.633,22.4,233,777
30,325,441,557,10.833,18.567,232,593
31,374,468,563,12.467,18.767,189,590
32,400,511,622,13.333,20.733,222,655
33,292,392,492,9.733,16.4,200,517
34,398,480,563,13.267,18.767,165,590
35,357,486,614,11.9,20.467,257,652
36,580,681,782,19.333,26.067,202,1117
37,284,389,494,9.467,16.467,210,528
38,386,504,621,12.867,20.7,235,796
39,470,599,728,15.667,24.267,258,845
40,397,534,670,13.233,22.333,273,700
41,306,416,526,10.2,17.533,220,578
42,436,574,711,14.533,23.7,275,874
43,234,370,507,7.8,16.9,273,574
44,394,570,746,13.133,24.867,352,774
45,472,604,736,15.733,24.533,264,769
46,424,536,648,14.133,21.6,224,817
47,331,430,530,11.033,17.667,199,829
48,564,684,803,18.8,26.767,239,826
49,417,540,662,13.9,22.067,245,763
50,320,478,637,10.667,21.233,317,691
51,479,601,723,15.967,24.1,244,944
52,257,358,460,8.567,15.333,203,515
53,164,316,468,5.467,15.6,304,536
54,424,550,676,14.133,22.533,252,1151
55,426,536,645,14.2,21.5,219,829
56,402,488,575,13.4,19.167,173,969
57,294,422,549,9.8,18.3,255,610
58,449,584,719,14.967,23.967,270,807
59,228,400,572,7.6,19.067,344,639
60,331,428,526,11.033,17.533,195,1052
61,214,375,536,7.133,17.867,322,577
62,317,445,573,10.567,19.1,256,848
63,522,629,736,17.4,24.533,214,949
64,494,588,683,16.467,22.767,189,714
65,353,488,622,11.767,20.733,269,726
66,318,434,550,10.6,18.333,232,574
67,383,506,629,12.767,20.967,246,660
68,394,517,640,13.133,21.333,246,707
69,378,538,698,12.6,23.267,320,935
70,474,634,795,15.8,26.5,321,853
71,367,518,668,12.233,22.267,301,698
72,432,569,706,14.4,23.533,274,902
73,382,518,653,12.733,21.767,271,944
74,364,488,613,12.133,20.433,249,672
75,,,,,,,631
76,387,545,703,12.9,23.433,316,729
77,344,483,622,11.467,20.733,278,652
78,367,526,685,12.233,22.833,318,712
79,379,540,700,12.633,23.333,321,728
